Reg_Code,Reg_Name,Dis_Code,Dis_Name,Ward_Code,Ward_Name,Division,PCode,total_both,total_male,total_fema,rural_both,rural_male,urban_both,urban_male,urban_fema,rural_fema,area_km2,status,ward_type,Pop_Den
01,Dodoma,01,Kondoa,011,Bumbuta,,0101011,8602,4433,4169,8602,4433,0,0,0,4169,189.981680,1,Rural,45
01,Dodoma,01,Kondoa,021,Pahi,,0101021,13944,7082,6862,13944,7082,0,0,0,6862,109.924611,1,Rural,127
01,Dodoma,01,Kondoa,041,Haubi,,0101041,13757,7027,6730,13757,7027,0,0,0,6730,150.395757,1,Rural,91
01,Dodoma,01,Kondoa,051,Kalamba,,0101051,13988,7023,6965,13988,7023,0,0,0,6965,286.931082,1,Rural,49
01,Dodoma,01,Kondoa,061,Kwadelo,,0101061,11593,5801,5792,11593,5801,0,0,0,5792,313.301277,1,Rural,37
01,Dodoma,01,Kondoa,071,Masange,,0101071,5388,2665,2723,5388,2665,0,0,0,2723,51.510321,1,Rural,105
01,Dodoma,01,Kondoa,081,Kikilo,,0101081,9318,4667,4651,9318,4667,0,0,0,4651,91.038527,1,Rural,102
01,Dodoma,01,Kondoa,091,Bereko,,0101091,7226,3655,3571,7226,3655,0,0,0,3571,65.349335,1,Rural,111
01,Dodoma,01,Kondoa,101,Kisese,,0101101,12989,6631,6358,12989,6631,0,0,0,6358,206.892427,1,Rural,63
01,Dodoma,01,Kondoa,111,Kikore,,0101111,13044,6724,6320,13044,6724,0,0,0,6320,167.594527,1,Rural,78
01,Dodoma,01,Kondoa,121,Serya,,0101121,6054,3188,2866,6054,3188,0,0,0,2866,579.124969,1,Rural,10
01,Dodoma,01,Kondoa,133,Kilimani,,0101133,7237,3503,3734,2150,1044,5087,2459,2628,1106,61.323175,3,Mixed,118
01,Dodoma,01,Kondoa,142,Chemchem,,0101142,7914,3797,4117,0,0,7914,3797,4117,0,17.307088,2,Urban,457
01,Dodoma,01,Kondoa,151,Hondo mairo,,0101151,8114,4221,3893,8114,4221,0,0,0,3893,197.024594,1,Rural,41
01,Dodoma,01,Kondoa,161,Bolisa,,0101161,3644,1812,1832,3644,1812,0,0,0,1832,36.434996,1,Rural,100
01,Dodoma,01,Kondoa,171,Kinyasi,,0101171,8816,4508,4308,8816,4508,0,0,0,4308,125.479461,1,Rural,70
01,Dodoma,01,Kondoa,181,Salanka,,0101181,8632,4335,4297,8632,4335,0,0,0,4297,70.420359,1,Rural,123
01,Dodoma,01,Kondoa,191,Itololo,,0101191,7196,3717,3479,7196,3717,0,0,0,3479,92.580087,1,Rural,78
01,Dodoma,01,Kondoa,201,Itaswi,,0101201,9774,5159,4615,9774,5159,0,0,0,4615,793.585983,1,Rural,12
01,Dodoma,01,Kondoa,211,Suruke,,0101211,3545,1841,1704,3545,1841,0,0,0,1704,74.071499,1,Rural,48
01,Dodoma,01,Kondoa,221,Kingale,,0101221,11003,5602,5401,11003,5602,0,0,0,5401,533.530046,1,Rural,21
01,Dodoma,01,Kondoa,232,Kondoa mjini,,0101232,14382,6744,7638,0,0,14382,6744,7638,0,24.426316,2,Urban,589
01,Dodoma,01,Kondoa,241,Kolo,,0101241,5243,2690,2553,5243,2690,0,0,0,2553,103.479466,1,Rural,51
01,Dodoma,01,Kondoa,251,Changaa,,0101251,9634,5095,4539,9634,5095,0,0,0,4539,252.254730,1,Rural,38
01,Dodoma,01,Kondoa,261,Thawi,,0101261,10799,5449,5350,10799,5449,0,0,0,5350,198.409652,1,Rural,54
01,Dodoma,01,Kondoa,271,Mnenia,,0101271,11528,5905,5623,11528,5905,0,0,0,5623,106.264029,1,Rural,108
01,Dodoma,01,Kondoa,281,Soera,,0101281,7616,3828,3788,7616,3828,0,0,0,3788,125.309872,1,Rural,61
01,Dodoma,02,Mpwapwa,011,Mazae,,0102011,8021,3908,4113,8021,3908,0,0,0,4113,122.805134,1,Rural,65
01,Dodoma,02,Mpwapwa,023,Vingh'awe,,0102023,12277,5812,6465,6557,3183,5720,2629,3091,3374,83.855038,3,Mixed,146
01,Dodoma,02,Mpwapwa,031,Matomondo,,0102031,17131,8355,8776,17131,8355,0,0,0,8776,243.149563,1,Rural,70
01,Dodoma,02,Mpwapwa,041,Kimagai,,0102041,7340,3570,3770,7340,3570,0,0,0,3770,170.765708,1,Rural,43
01,Dodoma,02,Mpwapwa,053,Kibakwe,,0102053,16705,8115,8590,11557,5615,5148,2500,2648,5942,155.727353,3,Mixed,107
01,Dodoma,02,Mpwapwa,061,Lumuma,,0102061,3783,1874,1909,3783,1874,0,0,0,1909,149.171028,1,Rural,25
01,Dodoma,02,Mpwapwa,071,Luhundwa,,0102071,12161,5904,6257,12161,5904,0,0,0,6257,244.200166,1,Rural,50
01,Dodoma,02,Mpwapwa,081,Massa,,0102081,12561,6083,6478,12561,6083,0,0,0,6478,334.059914,1,Rural,38
01,Dodoma,02,Mpwapwa,091,Ipera,,0102091,12870,6304,6566,12870,6304,0,0,0,6566,421.703914,1,Rural,31
01,Dodoma,02,Mpwapwa,101,Rudi,,0102101,10029,4739,5290,10029,4739,0,0,0,5290,746.384832,1,Rural,13
01,Dodoma,02,Mpwapwa,111,Mlunduzi,,0102111,9668,4602,5066,9668,4602,0,0,0,5066,335.038490,1,Rural,29
01,Dodoma,02,Mpwapwa,121,Wotta,,0102121,13340,6359,6981,13340,6359,0,0,0,6981,331.868232,1,Rural,40
01,Dodoma,02,Mpwapwa,131,Mima,,0102131,14435,6926,7509,14435,6926,0,0,0,7509,300.414021,1,Rural,48
01,Dodoma,02,Mpwapwa,141,Berege,,0102141,10931,5373,5558,10931,5373,0,0,0,5558,229.580848,1,Rural,48
01,Dodoma,02,Mpwapwa,151,Chunyu,,0102151,11593,5458,6135,11593,5458,0,0,0,6135,333.905784,1,Rural,35
01,Dodoma,02,Mpwapwa,161,Mbuga,,0102161,5813,2924,2889,5813,2924,0,0,0,2889,147.109976,1,Rural,40
01,Dodoma,02,Mpwapwa,171,Godegode,,0102171,7884,3899,3985,7884,3899,0,0,0,3985,279.195657,1,Rural,28
01,Dodoma,02,Mpwapwa,183,Mpwapwa,,0102183,21337,10147,11190,5604,2726,15733,7421,8312,2878,137.329924,3,Mixed,155
01,Dodoma,02,Mpwapwa,191,Lupeta,,0102191,8477,4081,4396,8477,4081,0,0,0,4396,100.577016,1,Rural,84
01,Dodoma,02,Mpwapwa,201,Gulwe,,0102201,10385,5059,5326,10385,5059,0,0,0,5326,192.495645,1,Rural,54
01,Dodoma,02,Mpwapwa,211,Nghambi,,0102211,8377,3987,4390,8377,3987,0,0,0,4390,138.766845,1,Rural,60
01,Dodoma,02,Mpwapwa,221,Chitemo,,0102221,7782,3765,4017,7782,3765,0,0,0,4017,261.692555,1,Rural,30
01,Dodoma,02,Mpwapwa,231,Iwondo,,0102231,7700,3651,4049,7700,3651,0,0,0,4049,163.131689,1,Rural,47
01,Dodoma,02,Mpwapwa,241,Kingiti,,0102241,7024,3410,3614,7024,3410,0,0,0,3614,162.752138,1,Rural,43
01,Dodoma,02,Mpwapwa,251,Lufu,,0102251,4937,2401,2536,4937,2401,0,0,0,2536,163.337321,1,Rural,30
01,Dodoma,02,Mpwapwa,261,Pwaga,,0102261,11217,5353,5864,11217,5353,0,0,0,5864,272.932388,1,Rural,41
01,Dodoma,02,Mpwapwa,271,Galigali,,0102271,4356,2145,2211,4356,2145,0,0,0,2211,186.258619,1,Rural,23
01,Dodoma,02,Mpwapwa,281,Mtera,,0102281,10934,5434,5500,10934,5434,0,0,0,5500,556.656794,1,Rural,20
01,Dodoma,02,Mpwapwa,291,Chipogoro,,0102291,10682,5076,5606,10682,5076,0,0,0,5606,271.445287,1,Rural,39
01,Dodoma,02,Mpwapwa,301,Malolo,,0102301,5306,2592,2714,5306,2592,0,0,0,2714,323.158025,1,Rural,16
01,Dodoma,03,Kongwa,013,Kongwa,,0103013,13531,6513,7018,3518,1713,10013,4800,5213,1805,79.199670,3,Mixed,171
01,Dodoma,03,Kongwa,021,Sejeli,,0103021,19097,9315,9782,19097,9315,0,0,0,9782,279.340762,1,Rural,68
01,Dodoma,03,Kongwa,031,Hogoro,,0103031,17129,8374,8755,17129,8374,0,0,0,8755,214.770346,1,Rural,80
01,Dodoma,03,Kongwa,041,Zoissa,,0103041,6105,2981,3124,6105,2981,0,0,0,3124,105.398081,1,Rural,58
01,Dodoma,03,Kongwa,051,Mkoka,,0103051,11925,5766,6159,11925,5766,0,0,0,6159,105.175087,1,Rural,113
01,Dodoma,03,Kongwa,061,Njoge,,0103061,10063,4874,5189,10063,4874,0,0,0,5189,155.894888,1,Rural,65
01,Dodoma,03,Kongwa,071,Mtanana,,0103071,12559,6113,6446,12559,6113,0,0,0,6446,501.069316,1,Rural,25
01,Dodoma,03,Kongwa,081,Pandambili,,0103081,8004,3848,4156,8004,3848,0,0,0,4156,87.474069,1,Rural,92
01,Dodoma,03,Kongwa,091,Mlali,,0103091,19623,9305,10318,19623,9305,0,0,0,10318,120.598739,1,Rural,163
01,Dodoma,03,Kongwa,101,Iduo,,0103101,11197,5424,5773,11197,5424,0,0,0,5773,81.656654,1,Rural,137
01,Dodoma,03,Kongwa,111,Sagara,,0103111,22066,10505,11561,22066,10505,0,0,0,11561,248.797281,1,Rural,89
01,Dodoma,03,Kongwa,123,Kibaigwa,,0103123,24761,11808,12953,7128,3391,17633,8417,9216,3737,113.203678,3,Mixed,219
01,Dodoma,03,Kongwa,133,Ugogoni,,0103133,17048,8059,8989,14682,6949,2366,1110,1256,7733,165.782166,3,Mixed,103
01,Dodoma,03,Kongwa,141,Chamkoroma,,0103141,14675,7286,7389,14675,7286,0,0,0,7389,166.317487,1,Rural,88
01,Dodoma,03,Kongwa,151,Makawa,,0103151,8622,4198,4424,8622,4198,0,0,0,4424,164.652639,1,Rural,52
01,Dodoma,03,Kongwa,161,Chitego,,0103161,9799,4698,5101,9799,4698,0,0,0,5101,300.109300,1,Rural,33
01,Dodoma,03,Kongwa,171,Matongoro,,0103171,10095,4900,5195,10095,4900,0,0,0,5195,104.544693,1,Rural,97
01,Dodoma,03,Kongwa,181,Ngomai,,0103181,10534,5105,5429,10534,5105,0,0,0,5429,198.084946,1,Rural,53
01,Dodoma,03,Kongwa,191,Songambele,,0103191,17712,8405,9307,17712,8405,0,0,0,9307,175.620093,1,Rural,101
01,Dodoma,03,Kongwa,201,Chiwe,,0103201,19479,9287,10192,19479,9287,0,0,0,10192,206.075315,1,Rural,95
01,Dodoma,03,Kongwa,211,Lenjulu,,0103211,14440,6938,7502,14440,6938,0,0,0,7502,272.024181,1,Rural,53
01,Dodoma,03,Kongwa,221,Nghumbi,,0103221,11509,5519,5990,11509,5519,0,0,0,5990,156.614271,1,Rural,73
01,Dodoma,04,Chamwino,011,Haneti,,0104011,13128,6454,6674,13128,6454,0,0,0,6674,703.320438,1,Rural,19
01,Dodoma,04,Chamwino,021,Segala,,0104021,12791,6544,6247,12791,6544,0,0,0,6247,390.959553,1,Rural,33
01,Dodoma,04,Chamwino,031,Itiso,,0104031,12636,6293,6343,12636,6293,0,0,0,6343,557.265126,1,Rural,23
01,Dodoma,04,Chamwino,041,Dabalo,,0104041,16115,8003,8112,16115,8003,0,0,0,8112,565.971987,1,Rural,28
01,Dodoma,04,Chamwino,051,Membe,,0104051,8726,4300,4426,8726,4300,0,0,0,4426,321.649946,1,Rural,27
01,Dodoma,04,Chamwino,061,Msanga,,0104061,9663,4642,5021,9663,4642,0,0,0,5021,157.900335,1,Rural,61
01,Dodoma,04,Chamwino,071,Chilonwa,,0104071,7907,3852,4055,7907,3852,0,0,0,4055,114.991931,1,Rural,69
01,Dodoma,04,Chamwino,083,Buigiri,,0104083,16821,7934,8887,8329,3925,8492,4009,4483,4404,170.239028,3,Mixed,99
01,Dodoma,04,Chamwino,091,Majeleko,,0104091,6886,3284,3602,6886,3284,0,0,0,3602,168.253006,1,Rural,41
01,Dodoma,04,Chamwino,101,Manchali,,0104101,10485,4993,5492,10485,4993,0,0,0,5492,91.914420,1,Rural,114
01,Dodoma,04,Chamwino,111,Ikowa,,0104111,6325,3000,3325,6325,3000,0,0,0,3325,140.584527,1,Rural,45
01,Dodoma,04,Chamwino,121,Msamalo,,0104121,14142,6683,7459,14142,6683,0,0,0,7459,161.721770,1,Rural,87
01,Dodoma,04,Chamwino,131,Igandu,,0104131,14880,6939,7941,14880,6939,0,0,0,7941,237.292312,1,Rural,63
01,Dodoma,04,Chamwino,141,Muungano,,0104141,10745,5084,5661,10745,5084,0,0,0,5661,106.651222,1,Rural,101
01,Dodoma,04,Chamwino,151,Mvumi Makulu,,0104151,7460,3410,4050,7460,3410,0,0,0,4050,81.535704,1,Rural,91
01,Dodoma,04,Chamwino,161,Handali,,0104161,9854,4679,5175,9854,4679,0,0,0,5175,140.223080,1,Rural,70
01,Dodoma,04,Chamwino,173,Mvumi Mission,,0104173,16514,7748,8766,5983,2841,10531,4907,5624,3142,82.669457,3,Mixed,200
01,Dodoma,04,Chamwino,181,Idifu,,0104181,9609,4584,5025,9609,4584,0,0,0,5025,156.518592,1,Rural,61
01,Dodoma,04,Chamwino,191,Makang'wa,,0104191,20337,9494,10843,20337,9494,0,0,0,10843,226.576547,1,Rural,90
01,Dodoma,04,Chamwino,201,Iringamvumi,,0104201,11313,5415,5898,11313,5415,0,0,0,5898,126.193302,1,Rural,90
01,Dodoma,04,Chamwino,211,Manzase,,0104211,11485,5478,6007,11485,5478,0,0,0,6007,329.973063,1,Rural,35
01,Dodoma,04,Chamwino,221,Fufu,,0104221,3469,1668,1801,3469,1668,0,0,0,1801,233.775088,1,Rural,15
01,Dodoma,04,Chamwino,231,Mlowa Bwawani,,0104231,9031,4291,4740,9031,4291,0,0,0,4740,211.539921,1,Rural,43
01,Dodoma,04,Chamwino,241,Mpwayungu,,0104241,12634,6091,6543,12634,6091,0,0,0,6543,499.228632,1,Rural,25
01,Dodoma,04,Chamwino,251,Nghambaku,,0104251,7339,3657,3682,7339,3657,0,0,0,3682,693.325895,1,Rural,11
01,Dodoma,04,Chamwino,261,Chinugulu,,0104261,5216,2553,2663,5216,2553,0,0,0,2663,449.026735,1,Rural,12
01,Dodoma,04,Chamwino,271,Manda,,0104271,9874,4762,5112,9874,4762,0,0,0,5112,781.334222,1,Rural,13
01,Dodoma,04,Chamwino,281,Huzi,,0104281,7589,3653,3936,7589,3653,0,0,0,3936,346.126067,1,Rural,22
01,Dodoma,04,Chamwino,291,Loje,,0104291,5134,2493,2641,5134,2493,0,0,0,2641,226.773483,1,Rural,23
01,Dodoma,04,Chamwino,301,Chiboli,,0104301,4679,2306,2373,4679,2306,0,0,0,2373,287.912778,1,Rural,16
01,Dodoma,04,Chamwino,311,Nhinhi,,0104311,7203,3371,3832,7203,3371,0,0,0,3832,137.453637,1,Rural,52
01,Dodoma,04,Chamwino,321,Zajilwa,,0104321,10553,5224,5329,10553,5224,0,0,0,5329,345.127249,1,Rural,31
01,Dodoma,05,Dodoma Urban,012,Viwandani,,0105012,4883,2437,2446,0,0,4883,2437,2446,0,1.269848,2,Urban,3845
01,Dodoma,05,Dodoma Urban,022,Uhuru,,0105022,2419,1229,1190,0,0,2419,1229,1190,0,0.239072,2,Urban,10118
01,Dodoma,05,Dodoma Urban,032,Chamwino,,0105032,19175,9063,10112,0,0,19175,9063,10112,0,2.651393,2,Urban,7232
01,Dodoma,05,Dodoma Urban,042,Kiwanja cha ndege,,0105042,10129,4629,5500,0,0,10129,4629,5500,0,2.360219,2,Urban,4292
01,Dodoma,05,Dodoma Urban,052,Makole,,0105052,10504,4953,5551,0,0,10504,4953,5551,0,4.036628,2,Urban,2602
01,Dodoma,05,Dodoma Urban,062,Miyuji,,0105062,14965,7187,7778,0,0,14965,7187,7778,0,27.189474,2,Urban,550
01,Dodoma,05,Dodoma Urban,071,Msalato,,0105071,6718,3356,3362,6718,3356,0,0,0,3362,64.534614,1,Rural,104
01,Dodoma,05,Dodoma Urban,081,Makutupora,,0105081,14430,7762,6668,14430,7762,0,0,0,6668,208.358201,1,Rural,69
01,Dodoma,05,Dodoma Urban,091,Chihanga,,0105091,11004,5366,5638,11004,5366,0,0,0,5638,163.888088,1,Rural,67
01,Dodoma,05,Dodoma Urban,101,Hombolo,,0105101,22457,10845,11612,22457,10845,0,0,0,11612,303.898409,1,Rural,74
01,Dodoma,05,Dodoma Urban,111,Ipala,,0105111,6026,2903,3123,6026,2903,0,0,0,3123,83.591953,1,Rural,72
01,Dodoma,05,Dodoma Urban,121,Nzuguni,,0105121,15466,7412,8054,15196,7272,270,140,130,7924,145.965735,3,Mixed,106
01,Dodoma,05,Dodoma Urban,131,Dom-Makulu,,0105131,17097,8219,8878,17097,8219,0,0,0,8878,30.559740,1,Rural,559
01,Dodoma,05,Dodoma Urban,141,Mtumba,,0105141,17268,8440,8828,17268,8440,0,0,0,8828,138.951665,1,Rural,124
01,Dodoma,05,Dodoma Urban,151,Kikombo,,0105151,8343,4025,4318,8343,4025,0,0,0,4318,122.753220,1,Rural,68
01,Dodoma,05,Dodoma Urban,161,Ngh'ongh'onha,,0105161,9536,4513,5023,9536,4513,0,0,0,5023,132.012870,1,Rural,72
01,Dodoma,05,Dodoma Urban,171,Mpunguzi,,0105171,17891,8650,9241,17891,8650,0,0,0,9241,190.278634,1,Rural,94
01,Dodoma,05,Dodoma Urban,182,Tambukareli,,0105182,6584,3222,3362,0,0,6584,3222,3362,0,3.720349,2,Urban,1770
01,Dodoma,05,Dodoma Urban,192,Kilimani,,0105192,6471,3137,3334,0,0,6471,3137,3334,0,3.131596,2,Urban,2066
01,Dodoma,05,Dodoma Urban,202,Kikuyu Kusini,,0105202,5974,2724,3250,0,0,5974,2724,3250,0,2.502581,2,Urban,2387
01,Dodoma,05,Dodoma Urban,212,Kikuyu Kaskazini,,0105212,9852,4814,5038,0,0,9852,4814,5038,0,5.360668,2,Urban,1838
01,Dodoma,05,Dodoma Urban,221,Mkonze,,0105221,12515,6134,6381,12515,6134,0,0,0,6381,81.653167,1,Rural,153
01,Dodoma,05,Dodoma Urban,231,Mbabala,,0105231,11901,5683,6218,11901,5683,0,0,0,6218,165.085228,1,Rural,72
01,Dodoma,05,Dodoma Urban,241,Zuzu,,0105241,6485,3103,3382,6485,3103,0,0,0,3382,130.734885,1,Rural,50
01,Dodoma,05,Dodoma Urban,252,Hazina,,0105252,9540,5182,4358,0,0,9540,5182,4358,0,8.684922,2,Urban,1098
01,Dodoma,05,Dodoma Urban,262,Madukani,,0105262,2421,1101,1320,0,0,2421,1101,1320,0,0.116896,2,Urban,20711
01,Dodoma,05,Dodoma Urban,272,Majengo,,0105272,5214,2531,2683,0,0,5214,2531,2683,0,0.725254,2,Urban,7189
01,Dodoma,05,Dodoma Urban,282,Kizota,,0105282,34453,16506,17947,0,0,34453,16506,17947,0,51.441810,2,Urban,670
01,Dodoma,05,Dodoma Urban,291,Nala,,0105291,5567,2735,2832,0,0,5567,2735,2832,0,113.451893,2,Urban,49
01,Dodoma,05,Dodoma Urban,301,Mbalawala,,0105301,8830,4204,4626,8830,4204,0,0,0,4626,133.748584,1,Rural,66
01,Dodoma,05,Dodoma Urban,311,Ntyuka,,0105311,4558,2165,2393,4558,2165,0,0,0,2393,47.235394,1,Rural,96
01,Dodoma,05,Dodoma Urban,322,Chigongwe,,0105322,7281,3447,3834,0,0,7281,3447,3834,0,122.168116,2,Urban,60
01,Dodoma,05,Dodoma Urban,332,Chang'ombe,,0105332,25415,12583,12832,0,0,25415,12583,12832,0,3.075596,2,Urban,8263
01,Dodoma,05,Dodoma Urban,341,Iyumbu,,0105341,2700,1332,1368,2700,1332,0,0,0,1368,38.326785,1,Rural,70
01,Dodoma,05,Dodoma Urban,351,Chahwa,,0105351,4365,2092,2273,4365,2092,0,0,0,2273,58.519217,1,Rural,75
01,Dodoma,05,Dodoma Urban,362,Mnadani,,0105362,14373,7087,7286,0,0,14373,7087,7286,0,30.163758,2,Urban,476
01,Dodoma,05,Dodoma Urban,372,Ipagala,,0105372,18146,8716,9430,0,0,18146,8716,9430,0,14.864978,2,Urban,1221
01,Dodoma,06,Bahi,011,Makanda,,0106011,7896,3808,4088,7896,3808,0,0,0,4088,304.819067,1,Rural,26
01,Dodoma,06,Bahi,021,Lamaiti,,0106021,12268,5971,6297,12268,5971,0,0,0,6297,327.380727,1,Rural,37
01,Dodoma,06,Bahi,031,Babayu,,0106031,10126,4942,5184,10126,4942,0,0,0,5184,292.091341,1,Rural,35
01,Dodoma,06,Bahi,041,Zanka,,0106041,9886,4866,5020,9886,4866,0,0,0,5020,334.012989,1,Rural,30
01,Dodoma,06,Bahi,051,Msisi,,0106051,11847,5736,6111,11847,5736,0,0,0,6111,300.327312,1,Rural,39
01,Dodoma,06,Bahi,061,Mundemu,,0106061,8149,3917,4232,8149,3917,0,0,0,4232,131.146562,1,Rural,62
01,Dodoma,06,Bahi,071,Bahi,,0106071,18293,8876,9417,18293,8876,0,0,0,9417,246.425773,1,Rural,74
01,Dodoma,06,Bahi,081,Mpamantwa,,0106081,12984,6249,6735,12984,6249,0,0,0,6735,309.751657,1,Rural,42
01,Dodoma,06,Bahi,091,Ibihwa,,0106091,11060,5223,5837,11060,5223,0,0,0,5837,210.876687,1,Rural,52
01,Dodoma,06,Bahi,101,Ilindi,,0106101,9440,4515,4925,9440,4515,0,0,0,4925,197.031856,1,Rural,48
01,Dodoma,06,Bahi,111,Kigwe,,0106111,15559,7315,8244,15559,7315,0,0,0,8244,163.613781,1,Rural,95
01,Dodoma,06,Bahi,121,Chikola,,0106121,13668,6479,7189,13668,6479,0,0,0,7189,366.322517,1,Rural,37
01,Dodoma,06,Bahi,131,Chipanga,,0106131,9654,4594,5060,9654,4594,0,0,0,5060,199.307823,1,Rural,48
01,Dodoma,06,Bahi,141,Chali,,0106141,11300,5282,6018,11300,5282,0,0,0,6018,294.591870,1,Rural,38
01,Dodoma,06,Bahi,151,Nondwa,,0106151,15369,7344,8025,15369,7344,0,0,0,8025,1014.969314,1,Rural,15
01,Dodoma,06,Bahi,161,Mpalanga,,0106161,10228,4831,5397,10228,4831,0,0,0,5397,170.684762,1,Rural,60
01,Dodoma,06,Bahi,171,Ibugule,,0106171,8046,3770,4276,8046,3770,0,0,0,4276,217.580755,1,Rural,37
01,Dodoma,06,Bahi,181,Chibelela,,0106181,10033,4739,5294,10033,4739,0,0,0,5294,116.986349,1,Rural,86
01,Dodoma,06,Bahi,191,Mwitikira,,0106191,7235,3424,3811,7235,3424,0,0,0,3811,312.116079,1,Rural,23
01,Dodoma,06,Bahi,201,Mtitaa,,0106201,8604,4094,4510,8604,4094,0,0,0,4510,185.650431,1,Rural,46
01,Dodoma,07,Chemba,011,Makorongo,,0107011,15162,7343,7819,15162,7343,0,0,0,7819,414.026014,1,Rural,37
01,Dodoma,07,Chemba,021,Ovada,,0107021,11648,5897,5751,11648,5897,0,0,0,5751,593.908380,1,Rural,20
01,Dodoma,07,Chemba,031,Msaada,,0107031,6349,3163,3186,6349,3163,0,0,0,3186,169.139941,1,Rural,38
01,Dodoma,07,Chemba,041,Kimaha,,0107041,10602,5302,5300,10602,5302,0,0,0,5300,227.215858,1,Rural,47
01,Dodoma,07,Chemba,051,Churuku,,0107051,9260,4556,4704,9260,4556,0,0,0,4704,124.549520,1,Rural,74
01,Dodoma,07,Chemba,061,Songoro,,0107061,10751,5472,5279,10751,5472,0,0,0,5279,202.562587,1,Rural,53
01,Dodoma,07,Chemba,071,Mondo,,0107071,9494,4675,4819,9494,4675,0,0,0,4819,135.649040,1,Rural,70
01,Dodoma,07,Chemba,081,Dalai,,0107081,15078,7365,7713,15078,7365,0,0,0,7713,176.659115,1,Rural,85
01,Dodoma,07,Chemba,103,Mrijo,,0107103,13104,6405,6699,8565,4163,4539,2242,2297,4402,174.686553,3,Mixed,75
01,Dodoma,07,Chemba,111,Chandama,,0107111,18705,9253,9452,18705,9253,0,0,0,9452,229.744066,1,Rural,81
01,Dodoma,07,Chemba,121,Goima,,0107121,12261,6061,6200,12261,6061,0,0,0,6200,290.658204,1,Rural,42
01,Dodoma,07,Chemba,131,Chemba,,0107131,16047,8119,7928,16047,8119,0,0,0,7928,572.829205,1,Rural,28
01,Dodoma,07,Chemba,141,Paranga,,0107141,12297,6141,6156,12297,6141,0,0,0,6156,295.877270,1,Rural,42
01,Dodoma,07,Chemba,151,Gwandi,,0107151,7971,3967,4004,7971,3967,0,0,0,4004,665.734122,1,Rural,12
01,Dodoma,07,Chemba,161,Farkwa,,0107161,9991,5091,4900,9991,5091,0,0,0,4900,575.252076,1,Rural,17
01,Dodoma,07,Chemba,171,Mpendo,,0107171,6997,3349,3648,6997,3349,0,0,0,3648,367.727350,1,Rural,19
01,Dodoma,07,Chemba,181,Sanzawa,,0107181,10613,5434,5179,10613,5434,0,0,0,5179,670.801598,1,Rural,16
01,Dodoma,07,Chemba,191,Kwamtoro,,0107191,9785,4995,4790,9785,4995,0,0,0,4790,514.683381,1,Rural,19
01,Dodoma,07,Chemba,201,Lalta,,0107201,11832,6058,5774,11832,6058,0,0,0,5774,760.437159,1,Rural,16
02,Arusha,01,Monduli,011,Engaruka,Manyara,0201011,11121,5314,5807,11121,5314,0,0,0,5807,658.615215,1,Rural,17
02,Arusha,01,Monduli,031,Monduli juu,Kisongo,0201031,15914,7321,8593,15914,7321,0,0,0,8593,974.676487,1,Rural,16
02,Arusha,01,Monduli,043,Engutoto,Kisongo,0201043,6970,3304,3666,4628,2204,2342,1100,1242,2424,31.765343,3,Mixed,219
02,Arusha,01,Monduli,052,Monduli Mjini,Kisongo,0201052,7796,3793,4003,0,0,7796,3793,4003,0,2.551556,2,Urban,3055
02,Arusha,01,Monduli,061,Moita,Makuyuni,0201061,11340,5136,6204,11340,5136,0,0,0,6204,259.213942,1,Rural,44
02,Arusha,01,Monduli,071,Sepeko,Makuyuni,0201071,16720,7902,8818,16720,7902,0,0,0,8818,587.390384,1,Rural,28
02,Arusha,01,Monduli,081,Lolkisale,Makuyuni,0201081,10056,4892,5164,10056,4892,0,0,0,5164,1126.804158,1,Rural,9
02,Arusha,01,Monduli,091,Makuyuni,Makuyuni,0201091,11228,5434,5794,11228,5434,0,0,0,5794,409.124499,1,Rural,27
02,Arusha,01,Monduli,101,Esilalei,Makuyuni,0201101,14595,6950,7645,14595,6950,0,0,0,7645,497.821164,1,Rural,29
02,Arusha,01,Monduli,113,Mto wa Mbu,Manyara,0201113,11405,5470,5935,1145,536,10260,4934,5326,609,24.817803,3,Mixed,460
02,Arusha,01,Monduli,121,Lepurko,Manyara,0201121,8151,3665,4486,8151,3665,0,0,0,4486,247.644085,1,Rural,33
02,Arusha,01,Monduli,131,Meserani,Manyara,0201131,11301,5400,5901,11301,5400,0,0,0,5901,653.492767,1,Rural,17
02,Arusha,01,Monduli,141,Mswakini,Manyara,0201141,5776,2861,2915,5776,2861,0,0,0,2915,320.573322,1,Rural,18
02,Arusha,01,Monduli,151,Majengo,Manyara,0201151,7853,3929,3924,7853,3929,0,0,0,3924,26.716679,1,Rural,294
02,Arusha,02,Meru,011,Ngarenanyuki,King'ori,0202011,20379,10169,10210,20379,10169,0,0,0,10210,271.272713,1,Rural,75
02,Arusha,02,Meru,021,Leguruki,King'ori,0202021,17636,8584,9052,17636,8584,0,0,0,9052,78.247875,1,Rural,225
02,Arusha,02,Meru,033,King'ori,King'ori,0202033,23280,11465,11815,18507,9099,4773,2366,2407,9408,172.650806,3,Mixed,135
02,Arusha,02,Meru,043,Maji ya chai,King'ori,0202043,29313,14143,15170,25582,12483,3731,1660,2071,13099,85.098642,3,Mixed,344
02,Arusha,02,Meru,053,Kikatiti,King'ori,0202053,16755,8220,8535,14448,7121,2307,1099,1208,7327,59.454140,3,Mixed,282
